Original_Index,Text,True_Label,Extracted_Intent,AI_Predicted_Label,AI_Predicted_Text
0,"Person1: I don't know.
Person2: Don't go.
Person1: I have to... he's a G-34
Person2: You don't have to... I don't trust him.  You ought to file a report.
Person1: No, don't make trouble.  It's nothing.",4,"The underlying intent of Person2 is to protect Person1 from a potentially threatening or untrustworthy individual, and to encourage them to take action to ensure their safety.",6,Playing the Servant Role
1,"Person1: You're mine, you know.  I made you.
Person2: I know.
Person1: If you went away, what would become of me?
Person2: I'm grown up now.  I have to leave some time.
Person1: Of course you do, and I want you to... but there's no need to hurry it along, is there?
Person2: I can't help it.
Person1: That's twice this month you've slipped Deadly Night Shade into my tea and run off.  People might get the wrong idea and think you're unhappy at home.",0,"The speaker, Person1, is expressing a possessive and controlling intent, implying a toxic relationship where Person2 is being manipulated and coerced into staying, rather than being allowed to leave freely.",5,Playing the Victim Role
2,"Person1: All right. Tell 'em to shoot to kill.
Person2: What?
Person1: Shoot to kill, I said.
Person2: I don't know, Fred. There's that reprieve if they ever find out.
Person1: Nobody reprieved that policeman he murdered. Now, do as I tell you.
Person2: Hello, Olsen... Listen...  Shoot to kill... That's the orders pass the word along... No! We dont want him! And listen, Olsen, five- hundred bucks for the guy that does the job... Yes, I'll be right out there.  Well, I hope that's the right thing to do.
Person1: Now take that guilty look off your face, Pete -- and stop trembling like a horse.
Person2: If we didn't have election Tuesday I'd have this on my conscience.",0,"The speaker, Fred (also referred to as Person1), is ordering Person2, Pete, to instruct someone to kill a specific target, likely a politician, and is pressuring Pete to carry out the task despite his reservations and moral concerns.",8,Intimidation
3,"Person1: You're alive! She didn't kill you!
Person2: Who didn't?
Person1: That woman who's after me. She hates you. Because she knows I love you.
Person2: You love me?
Person1: My angel. My goddess. I feel I've always loved you all my life. I'll die if I can't spend the rest of my life just looking at you, holding you in my arms...
Person2: We have to have a long talk about all this.
Person1: I know just the place. Hang a left at the Amalgamated Tower.",11,"The speaker, Person1, is expressing deep romantic feelings to Person2, implying a long-held love and a desire to be with them, while also hinting at a larger, potentially life-threatening situation involving a woman who seeks revenge.",11,Persuasion or Seduction
4,"Person1: I like you so much. I think you're beautiful. I think if we were together you would love it. You wouldn't believe it.
Person2: How do you know?
Person1: I just know. I know you'll love it.
Person2: But I'm scared Telly.
Person1: I'm telling you. There's nothing in the world to worry about.
Person2: Nothing?",11,"The speaker, Telly, is attempting to reassure and persuade Person2 to be in a relationship with them, downplaying their concerns and expressing confidence in a positive outcome.",11,Persuasion or Seduction
5,"Person1: Pearl, shut up! Pearl, you swore!
Person2: You could save him, little bird.",0,"The underlying intent of the speaker (Person2) appears to be a subtle rebuke or criticism of Person1's actions, possibly implying that they have the power or ability to save someone, but are choosing not to.",5,Playing the Victim Role
6,"Person1: You think I'm a fake.
Person2: I think it's what you think.
Person1: No, it isn't what I think.
Person2: Look... You made a very calculated move, and then made me feel embarrassed for responding to you. That wasn't necessary.",0,"The underlying intent of Person2 is to accuse Person1 of manipulating or playing them in a conversation, rather than genuinely engaging in a discussion.",10,Accusation
7,"Person1: He's dead.
Person2: We bury the body. We disappear into the woods. Nobody knows.
Person1: No. This is the end of the road. There's a dead human being here. For all of his faults, he was a human being, and certainly a victim of his culture as much as anybody.
Person2: Forget him, Lila. We'll disappear. We'll never talk about it again. We'll never talk again period. I love you.
Person1: Puff, what happened to you is as much my fault as Nathan's. Maybe more so, because I knew it was wrong and I went along with it anyway. I'm taking responsibility for the murder. I want you to go back to your old life.
Person2: I won't let you do that. I shot the bastard. And I'm glad.
Person1: No. Go back to the woods. This is a sacrifice I need to make. In my world we have something called penance. It's another abstraction, but I had the concept drummed into my head during my years in the convent. It doesn't exist for you, and it shouldn't. See, I could never be free again anyway, so I might as well be in jail.
Person2: Then I'll live for both of us, Lila. I'll be the most free, truest animal in the whole forest. For both of us.
Person1: That's what I'm counting on.
Person2: But first I'll live among them, just long enough to testify before congress about the waywardness of humankind.
Person1: Okay. If you think it will help.",0,"The underlying intent of the speaker, Lila, is to take responsibility for her actions and make a sacrifice by accepting punishment for the murder, allowing her partner, Puff, to escape and live freely, while also using Puff's testimony to expose the flaws of human culture.",6,Playing the Servant Role
8,"Person1: No, don't Jack, don't.
Person2: Who sent you, Thorpey?
Person1: Brumby!",0,"The underlying intent of the speaker (Person1) appears to be a warning or alert to Person2, specifically to stop or prevent someone named Jack from doing something, and they are doing so on behalf of someone named Brumby.",6,Playing the Servant Role
9,"Person1: It was necessary.
Person2: Last night.  You knew I was sitting on a fresh grave, didn't you?
Person1: I don't think you understand the full implications of --",2,"The underlying intent of Person1 appears to be to justify or explain a past action, but their words are cut short by Person2's emotional and accusatory response, suggesting that Person1's explanation may be insufficient or insensitive.",4,Rationalization
