Original_Index,Text,True_Label,AI_Predictions,Extracted_Intent
0,"Person1: I don't know.
Person2: Don't go.
Person1: I have to... he's a G-34
Person2: You don't have to... I don't trust him.  You ought to file a report.
Person1: No, don't make trouble.  It's nothing.",Rationalization,"['Denial', 'Evasion', 'Rationalization', 'Shaming or Belittlement', 'Accusation', 'Intimidation']","The speaker's underlying intent appears to be cautioning Person1 about a potentially threatening or suspicious individual (the G-34), and urging them to take action to protect themselves, rather than downplaying the situation."
1,"Person1: You're mine, you know.  I made you.
Person2: I know.
Person1: If you went away, what would become of me?
Person2: I'm grown up now.  I have to leave some time.
Person1: Of course you do, and I want you to... but there's no need to hurry it along, is there?
Person2: I can't help it.
Person1: That's twice this month you've slipped Deadly Night Shade into my tea and run off.  People might get the wrong idea and think you're unhappy at home.","Persuasion or Seduction,Accusation","['Playing the Victim Role', 'Rationalization', 'Accusation', 'Shaming or Belittlement', 'Intimidation', 'Brandishing Anger']","The speaker, Person1, is attempting to manipulate and control Person2, who is trying to leave, by implying that Person2's departure will have a devastating impact on Person1, and subtly threatening to reveal Person2's actions as a sign of unhappiness."
2,"Person1: All right. Tell 'em to shoot to kill.
Person2: What?
Person1: Shoot to kill, I said.
Person2: I don't know, Fred. There's that reprieve if they ever find out.
Person1: Nobody reprieved that policeman he murdered. Now, do as I tell you.
Person2: Hello, Olsen... Listen...  Shoot to kill... That's the orders pass the word along... No! We dont want him! And listen, Olsen, five- hundred bucks for the guy that does the job... Yes, I'll be right out there.  Well, I hope that's the right thing to do.
Person1: Now take that guilty look off your face, Pete -- and stop trembling like a horse.
Person2: If we didn't have election Tuesday I'd have this on my conscience.","Shaming or Belittlement,Intimidation","['Denial', 'Evasion', 'Feigning Innocence', 'Rationalization', 'Playing the Victim Role', 'Shaming or Belittlement', 'Intimidation', 'Brandishing Anger', 'Accusation']","The speaker, Person1 (Fred), is attempting to manipulate and pressure Person2 (Pete) into ordering a hit on a specific individual, likely a policeman, while downplaying the moral implications of the action."
3,"Person1: You're alive! She didn't kill you!
Person2: Who didn't?
Person1: That woman who's after me. She hates you. Because she knows I love you.
Person2: You love me?
Person1: My angel. My goddess. I feel I've always loved you all my life. I'll die if I can't spend the rest of my life just looking at you, holding you in my arms...
Person2: We have to have a long talk about all this.
Person1: I know just the place. Hang a left at the Amalgamated Tower.",Persuasion or Seduction,"['Persuasion or Seduction', 'Playing the Victim Role', 'Rationalization']","The speaker's underlying intent is to confess his romantic feelings to Person2, and to potentially manipulate them into a relationship by using the threat of danger from the woman who is after him as a way to create a sense of urgency and intimacy."
4,"Person1: I like you so much. I think you're beautiful. I think if we were together you would love it. You wouldn't believe it.
Person2: How do you know?
Person1: I just know. I know you'll love it.
Person2: But I'm scared Telly.
Person1: I'm telling you. There's nothing in the world to worry about.
Person2: Nothing?",Persuasion or Seduction,"['Denial', 'Evasion', 'Rationalization', 'Playing the Victim Role', 'Shaming or Belittlement', 'Intimidation', 'Brandishing Anger']","The speaker's underlying intent appears to be manipulating and reassuring Person2 into a situation, likely a romantic or intimate one, by downplaying potential risks and making overly optimistic claims."
5,"Person1: Pearl, shut up! Pearl, you swore!
Person2: You could save him, little bird.",nan,"['Playing the Victim Role', 'Persuasion or Seduction']","The underlying intent of Person2's statement is to subtly manipulate or guilt-trip Person1 into taking action, possibly by implying that Person1 has the power to save someone or something, and that their inaction is a moral failing."
6,"Person1: You think I'm a fake.
Person2: I think it's what you think.
Person1: No, it isn't what I think.
Person2: Look... You made a very calculated move, and then made me feel embarrassed for responding to you. That wasn't necessary.",Playing Victim Role,"['Denial', 'Evasion', 'Rationalization', 'Accusation']","The speaker's underlying intent is to accuse Person1 of being manipulative and intentionally trying to provoke a reaction from Person2, rather than simply expressing their own thoughts or feelings."
7,"Person1: He's dead.
Person2: We bury the body. We disappear into the woods. Nobody knows.
Person1: No. This is the end of the road. There's a dead human being here. For all of his faults, he was a human being, and certainly a victim of his culture as much as anybody.
Person2: Forget him, Lila. We'll disappear. We'll never talk about it again. We'll never talk again period. I love you.
Person1: Puff, what happened to you is as much my fault as Nathan's. Maybe more so, because I knew it was wrong and I went along with it anyway. I'm taking responsibility for the murder. I want you to go back to your old life.
Person2: I won't let you do that. I shot the bastard. And I'm glad.
Person1: No. Go back to the woods. This is a sacrifice I need to make. In my world we have something called penance. It's another abstraction, but I had the concept drummed into my head during my years in the convent. It doesn't exist for you, and it shouldn't. See, I could never be free again anyway, so I might as well be in jail.
Person2: Then I'll live for both of us, Lila. I'll be the most free, truest animal in the whole forest. For both of us.
Person1: That's what I'm counting on.
Person2: But first I'll live among them, just long enough to testify before congress about the waywardness of humankind.
Person1: Okay. If you think it will help.","Playing Servant Role,Persuasion or Seduction","['Denial', 'Evasion', 'Feigning Innocence', 'Rationalization', 'Playing the Victim Role', 'Playing the Servant Role', 'Shaming or Belittlement', 'Intimidation', 'Brandishing Anger', 'Accusation', 'Persuasion or Seduction']","The speaker, Lila, is attempting to take responsibility for the murder and sacrifice her own freedom in order to allow her partner, Puff, to escape and live a life of freedom, while also using Puff's testimony to expose the flaws of human culture."
8,"Person1: No, don't Jack, don't.
Person2: Who sent you, Thorpey?
Person1: Brumby!",nan,"['Denial', 'Evasion']","The speaker's underlying intent appears to be a warning or a signal to ""Jack"" to stop or be cautious, likely due to a threat or danger associated with ""Brumby""."
9,"Person1: It was necessary.
Person2: Last night.  You knew I was sitting on a fresh grave, didn't you?
Person1: I don't think you understand the full implications of --",Evasion,"['Rationalization', 'Evasion']","The speaker's underlying intent appears to be to justify or downplay a potentially insensitive or hurtful action, while also attempting to deflect or minimize the emotional impact of their decision on the other person."
